Trials,Precision,Regret,CumulativeRegret
1,12.2,8.921,8.921
2,11.4,9.105,18.026
3,13.6,8.572,26.598
4,15.0,8.206,34.804
5,14.6,8.000,42.804
6,14.8,7.270,50.073
7,17.6,7.188,57.261
8,15.8,7.146,64.408
9,21.4,6.638,71.045
10,19.0,6.388,77.433
11,21.8,6.383,83.816
12,20.4,5.878,89.694
13,21.4,5.783,95.477
14,22.8,5.376,100.853
15,28.6,5.272,106.125
16,27.8,4.918,111.043
17,28.4,4.849,115.892
18,30.4,5.038,120.931
19,30.2,4.318,125.249
20,33.8,4.399,129.648
21,36.0,4.175,133.823
22,35.0,4.403,138.226
23,35.4,3.984,142.211
24,38.8,3.680,145.891
25,43.2,3.493,149.384
26,41.6,3.724,153.108
27,38.2,3.474,156.581
28,45.0,3.265,159.846
29,43.6,3.367,163.213
30,44.2,3.260,166.473
31,46.8,3.079,169.552
32,51.2,2.776,172.328
33,49.6,2.850,175.179
34,49.8,2.844,178.022
35,48.2,2.778,180.801
36,49.8,2.810,183.610
37,51.0,2.734,186.344
38,54.6,2.622,188.967
39,54.4,2.374,191.341
40,56.4,2.381,193.722
41,54.8,2.425,196.147
42,58.0,2.442,198.589
43,58.2,2.336,200.925
44,63.8,2.208,203.133
45,58.6,2.038,205.172
46,61.8,2.360,207.531
47,60.2,2.323,209.854
48,65.6,1.919,211.773
49,66.4,2.036,213.809
50,62.0,2.026,215.835
51,63.0,1.937,217.771
52,62.4,2.225,219.997
53,64.0,1.983,221.980
54,62.8,1.885,223.865
55,64.2,1.865,225.730
56,67.6,2.030,227.760
57,64.4,1.922,229.681
58,66.8,1.738,231.419
59,66.6,2.006,233.425
60,67.6,1.785,235.211
61,71.0,1.695,236.905
62,69.4,1.703,238.608
63,67.8,1.706,240.315
64,69.2,1.674,241.989
65,68.0,1.805,243.794
66,71.2,1.591,245.386
67,71.2,1.683,247.069
68,71.6,1.535,248.604
69,70.8,1.603,250.208
70,71.8,1.555,251.763
71,73.0,1.450,253.213
72,72.8,1.585,254.798
73,72.0,1.395,256.193
74,73.0,1.519,257.712
75,73.6,1.460,259.172
76,73.2,1.523,260.695
77,71.8,1.529,262.225
78,73.4,1.424,263.649
79,76.0,1.499,265.149
80,75.0,1.460,266.608
81,75.2,1.373,267.981
82,74.0,1.315,269.296
83,74.6,1.591,270.886
84,75.4,1.329,272.215
85,75.6,1.343,273.558
86,76.4,1.199,274.758
87,75.4,1.353,276.111
88,76.4,1.302,277.413
89,76.4,1.416,278.829
90,77.8,1.381,280.211
91,77.8,1.241,281.451
92,78.8,1.148,282.599
93,76.8,1.271,283.870
94,80.2,1.166,285.036
95,78.4,1.209,286.244
96,77.2,1.194,287.438
97,78.2,1.118,288.556
98,80.2,1.171,289.727
99,77.8,1.268,290.995
100,80.0,1.411,292.405
101,82.4,1.155,293.560
102,77.4,1.271,294.831
103,77.6,1.331,296.162
104,79.0,1.154,297.316
105,79.4,1.072,298.388
106,82.0,1.119,299.507
107,80.4,1.120,300.627
108,79.2,1.097,301.724
109,80.0,1.201,302.925
110,78.6,1.209,304.134
111,82.2,1.145,305.279
112,81.8,1.106,306.386
113,81.4,1.047,307.433
114,81.2,1.196,308.629
115,82.0,1.058,309.687
116,81.8,1.119,310.806
117,83.2,1.187,311.993
118,81.8,1.004,312.997
119,82.0,0.940,313.937
120,83.8,0.927,314.864
121,83.6,1.007,315.871
122,81.2,1.088,316.959
123,81.8,0.909,317.868
124,83.2,1.072,318.940
125,84.0,1.015,319.954
126,82.2,1.102,321.056
127,82.6,1.180,322.236
128,82.6,1.059,323.295
129,84.0,0.980,324.274
130,82.8,1.095,325.369
131,84.8,0.996,326.365
132,83.2,0.995,327.360
133,85.0,0.940,328.300
134,85.0,0.959,329.259
135,85.8,0.874,330.134
136,83.6,1.001,331.135
137,84.6,1.170,332.305
138,84.2,1.038,333.342
139,84.4,0.901,334.243
140,84.0,0.945,335.188
