Rank,Samples
0,980,0
1,948,0
2,943,0
3,986,0
4,982,0
5,975,0
6,951,0
7,980,0
8,945,0
9,902,0
10,956,0
11,954,0
12,321,0
13,846,0
14,486,0
15,815,0
16,217,0
17,349,0
18,555,0
19,43,0
20,352,0
21,656,0
22,107,0
23,289,0
24,33,0
25,37,0
26,49,0
27,612,0
28,476,0
29,123,0
30,409,0
31,18,0
32,84,0
33,96,0
34,66,0
35,133,0
36,87,0
37,10,0
38,75,0
39,27,0
40,21,0
41,18,0
42,31,0
43,26,0
44,13,0
45,70,0
46,36,0
47,50,0
48,11,0
49,9,0
50,7,0
51,24,0
52,21,0
53,24,0
54,11,0
55,9,0
56,30,0
57,11,0
58,24,0
59,19,0
60,13,0
61,6,0
62,22,0
63,11,0
64,17,0
65,6,0
66,22,0
67,10,0
68,20,0
69,9,0
70,10,0
71,9,0
72,21,0
73,12,0
74,9,0
75,26,0
76,5,0
77,6,0
78,4,0
79,12,0
80,19,0
81,19,0
82,4,0
83,17,0
84,4,0
85,8,0
86,9,0
87,13,0
88,6,0
89,10,0
90,8,0
91,5,0
92,6,0
93,10,0
94,7,0
95,5,0
96,4,0
97,10,0
98,16,0
99,4,0
100,7,0
101,5,0
102,24,0
103,10,0
104,12,0
105,7,0
106,8,0
107,4,0
108,8,0
109,8,0
110,11,0
111,12,0
112,4,0
113,5,0
114,12,0
115,15,0
116,10,0
117,10,0
118,8,0
119,4,0
120,5,0
121,5,0
122,7,0
123,6,0
124,6,0
125,5,0
126,5,0
127,4,0
128,5,0
129,7,0
130,9,0
131,12,0
132,5,0
133,7,0
134,9,0
135,6,0
136,4,0
137,4,0
138,8,0
139,5,0
140,11,0
141,11,0
142,5,0
143,4,0
144,4,0
145,6,0
146,5,0
147,5,0
148,5,0
149,5,0
150,5,0
151,7,0
152,4,0
153,5,0
154,4,0
155,7,0
156,4,0
157,8,0
158,6,0
159,6,0
160,7,0
161,4,0
162,10,0
163,6,0
164,4,0
165,5,0
166,6,0
167,5,0
168,5,0
169,6,0
170,6,0
171,4,0
172,6,0
173,4,0
174,5,0
175,4,0
176,4,0
177,4,0
178,6,0
179,5,0
180,7,0
181,4,0
182,6,0
183,6,0
184,5,0
185,6,0
186,4,0
187,5,0
188,4,0
189,5,0
190,4,0
191,4,0
192,5,0
193,5,0
194,4,0
195,5,0
196,6,0
197,4,0
198,4,0
199,4,0
0,982,0
1,943,0
2,976,0
3,960,0
4,951,0
5,967,0
6,967,0
7,980,0
8,947,0
9,942,0
10,751,0
11,567,0
12,921,0
13,809,0
14,737,0
15,581,0
16,579,0
17,866,0
18,320,0
19,193,0
20,558,0
21,101,0
22,228,0
23,576,0
24,432,0
25,38,0
26,39,0
27,89,0
28,57,0
29,71,0
30,30,0
31,78,0
32,184,0
33,85,0
34,106,0
35,78,0
36,105,0
37,23,0
38,115,0
39,4,0
40,76,0
41,10,0
42,24,0
43,26,0
44,30,0
45,32,0
46,21,0
47,28,0
48,18,0
49,45,0
50,8,0
51,14,0
52,16,0
53,23,0
54,7,0
55,14,0
56,11,0
57,34,0
58,15,0
59,8,0
60,5,0
61,5,0
62,23,0
63,8,0
64,8,0
65,7,0
66,20,0
67,8,0
68,9,0
69,41,0
70,13,0
71,9,0
72,17,0
73,15,0
74,4,0
75,7,0
76,8,0
77,10,0
78,4,0
79,25,0
80,5,0
81,16,0
82,25,0
83,8,0
84,6,0
85,18,0
86,9,0
87,7,0
88,7,0
89,6,0
90,7,0
91,6,0
92,21,0
93,14,0
94,10,0
95,5,0
96,5,0
97,16,0
98,9,0
99,6,0
100,4,0
101,7,0
102,5,0
103,8,0
104,10,0
105,11,0
106,4,0
107,7,0
108,6,0
109,4,0
110,4,0
111,10,0
112,4,0
113,6,0
114,4,0
115,9,0
116,12,0
117,7,0
118,5,0
119,7,0
120,8,0
121,11,0
122,5,0
123,6,0
124,10,0
125,4,0
126,6,0
127,4,0
128,6,0
129,5,0
130,7,0
131,4,0
132,6,0
133,4,0
134,4,0
135,6,0
136,4,0
137,13,0
138,4,0
139,7,0
140,7,0
141,5,0
142,5,0
143,7,0
144,7,0
145,4,0
146,4,0
147,4,0
148,4,0
149,5,0
150,6,0
151,6,0
152,4,0
153,5,0
154,8,0
155,4,0
156,4,0
157,4,0
158,4,0
159,4,0
160,5,0
161,7,0
162,8,0
163,7,0
164,4,0
165,4,0
166,5,0
167,4,0
168,6,0
169,4,0
170,4,0
171,4,0
172,6,0
173,7,0
174,4,0
175,5,0
176,4,0
177,5,0
178,6,0
179,4,0
180,4,0
181,4,0
182,4,0
183,4,0
184,4,0
185,7,0
186,5,0
187,4,0
188,4,0
189,5,0
190,5,0
191,5,0
192,4,0
193,4,0
194,4,0
195,4,0
196,6,0
197,4,0
198,5,0
199,4,0
0,953,0
1,986,0
2,954,0
3,969,0
4,748,0
5,954,0
6,980,0
7,134,0
8,952,0
9,834,0
10,807,0
11,747,0
12,874,0
13,885,0
14,507,0
15,93,0
16,938,0
17,635,0
18,655,0
19,213,0
20,584,0
21,551,0
22,727,0
23,312,0
24,26,0
25,67,0
26,218,0
27,86,0
28,126,0
29,351,0
30,181,0
31,272,0
32,178,0
33,35,0
34,100,0
35,60,0
36,22,0
37,14,0
38,31,0
39,39,0
40,106,0
41,8,0
42,24,0
43,50,0
44,53,0
45,9,0
46,61,0
47,27,0
48,9,0
49,17,0
50,27,0
51,23,0
52,20,0
53,19,0
54,43,0
55,10,0
56,32,0
57,26,0
58,13,0
59,9,0
60,18,0
61,10,0
62,24,0
63,12,0
64,26,0
65,8,0
66,35,0
67,10,0
68,11,0
69,10,0
70,7,0
71,19,0
72,15,0
73,7,0
74,16,0
75,14,0
76,16,0
77,12,0
78,10,0
79,6,0
80,7,0
81,8,0
82,4,0
83,4,0
84,14,0
85,8,0
86,14,0
87,13,0
88,7,0
89,8,0
90,10,0
91,8,0
92,6,0
93,6,0
94,5,0
95,4,0
96,8,0
97,4,0
98,5,0
99,5,0
100,5,0
101,4,0
102,12,0
103,5,0
104,4,0
105,7,0
106,5,0
107,5,0
108,6,0
109,9,0
110,11,0
111,13,0
112,7,0
113,4,0
114,17,0
115,4,0
116,7,0
117,4,0
118,7,0
119,5,0
120,4,0
121,6,0
122,10,0
123,4,0
124,8,0
125,12,0
126,4,0
127,14,0
128,7,0
129,9,0
130,7,0
131,8,0
132,5,0
133,13,0
134,4,0
135,6,0
136,5,0
137,4,0
138,8,0
139,7,0
140,11,0
141,4,0
142,6,0
143,6,0
144,4,0
145,6,0
146,4,0
147,7,0
148,4,0
149,7,0
150,4,0
151,4,0
152,5,0
153,8,0
154,6,0
155,7,0
156,5,0
157,5,0
158,5,0
159,5,0
160,4,0
161,5,0
162,4,0
163,5,0
164,6,0
165,5,0
166,4,0
167,5,0
168,4,0
169,5,0
170,5,0
171,6,0
172,4,0
173,4,0
174,4,0
175,5,0
176,6,0
177,4,0
178,5,0
179,5,0
180,4,0
181,4,0
182,4,0
183,5,0
184,4,0
185,4,0
186,5,0
187,5,0
188,4,0
189,4,0
190,4,0
191,5,0
192,4,0
193,4,0
194,5,0
195,6,0
196,4,0
197,5,0
198,4,0
199,4,0
0,990,0
1,964,0
2,965,0
3,979,0
4,953,0
5,984,0
6,982,0
7,978,0
8,977,0
9,972,0
10,936,0
11,979,0
12,581,0
13,12,0
14,635,0
15,902,0
16,324,0
17,357,0
18,60,0
19,67,0
20,780,0
21,112,0
22,45,0
23,551,0
24,580,0
25,114,0
26,273,0
27,27,0
28,204,0
29,364,0
30,235,0
31,27,0
32,237,0
33,193,0
34,254,0
35,32,0
36,95,0
37,12,0
38,117,0
39,76,0
40,99,0
41,20,0
42,43,0
43,6,0
44,14,0
45,12,0
46,19,0
47,7,0
48,15,0
49,59,0
50,28,0
51,7,0
52,13,0
53,26,0
54,17,0
55,6,0
56,16,0
57,11,0
58,15,0
59,22,0
60,9,0
61,6,0
62,24,0
63,9,0
64,22,0
65,14,0
66,5,0
67,14,0
68,9,0
69,11,0
70,8,0
71,13,0
72,11,0
73,21,0
74,24,0
75,20,0
76,17,0
77,6,0
78,5,0
79,9,0
80,7,0
81,6,0
82,7,0
83,14,0
84,8,0
85,7,0
86,9,0
87,8,0
88,13,0
89,7,0
90,4,0
91,17,0
92,8,0
93,9,0
94,8,0
95,9,0
96,6,0
97,6,0
98,8,0
99,10,0
100,7,0
101,6,0
102,5,0
103,4,0
104,10,0
105,8,0
106,11,0
107,4,0
108,4,0
109,6,0
110,4,0
111,10,0
112,4,0
113,9,0
114,7,0
115,6,0
116,9,0
117,9,0
118,5,0
119,6,0
120,6,0
121,7,0
122,6,0
123,11,0
124,4,0
125,10,0
126,6,0
127,6,0
128,7,0
129,11,0
130,6,0
131,10,0
132,8,0
133,7,0
134,5,0
135,6,0
136,8,0
137,7,0
138,4,0
139,5,0
140,5,0
141,6,0
142,5,0
143,7,0
144,7,0
145,6,0
146,4,0
147,6,0
148,4,0
149,6,0
150,8,0
151,10,0
152,5,0
153,5,0
154,4,0
155,4,0
156,4,0
157,4,0
158,6,0
159,4,0
160,5,0
161,11,0
162,7,0
163,8,0
164,4,0
165,4,0
166,9,0
167,4,0
168,6,0
169,6,0
170,4,0
171,5,0
172,6,0
173,4,0
174,4,0
175,8,0
176,5,0
177,6,0
178,4,0
179,5,0
180,4,0
181,4,0
182,6,0
183,6,0
184,5,0
185,4,0
186,4,0
187,6,0
188,4,0
189,5,0
190,4,0
191,4,0
192,4,0
193,5,0
194,5,0
195,4,0
196,4,0
197,5,0
198,5,0
199,5,0
0,906,0
1,963,0
2,982,0
3,923,0
4,976,0
5,982,0
6,973,0
7,986,0
8,943,0
9,940,0
10,902,0
11,897,0
12,891,0
13,552,0
14,811,0
15,640,0
16,771,0
17,256,0
18,85,0
